Marque;Famille;Modele;Nom de code;Plate-forme;Frequence;Nombre de Transistors;Gravure;Jeux d'instructions;Tension;Socket;Nombre de coeur;Date de commercialisation;prix
Intel;;4004;;;108 kHz;2300;10 micrometres;;15 V;DIP16;;15/11/1971;1571
Intel;;4040;;;500 kHz a 740 kHz;3000;10 micrometres;;15 V;DIP24;;01/11/1974;1688
Intel;;8008;;;500 kHz a 800 kHz;3500;10 micrometres;;12 V;DIP18;;01/04/1972;2842
Intel;;8080;;;2 MHz;6000;6 micrometres;;12 V;DIP40;;01/04/1974;3045
Intel;;8085;;;5 MHz;6500;3 micrometres;;5 V;DIP40;;01/03/1976;1853
Intel;;8086;;;5 MHz;29000;3 micrometres;;5 V;DIP40;;08/06/1978;2806
Intel;;8086;;;8 MHz;29000;3 micrometres;;5 V;DIP40;;08/06/1978;2262
Intel;;8086;;;10 MHz;29000;3 micrometres;;5 V;DIP40;;08/06/1978;2522
Intel;;8088;;;5 MHz;29000;3 micrometres;;5 V;DIP40;;01/06/1979;1265
Intel;;8088;;;10 MHz;29000;3 micrometres;;5 V;DIP40;;01/06/1979;1534
Intel;;80186;;;6 MHz;55000;3 micrometres;;5 V;PGA68;;01/01/1982;2584
Intel;;80186;;;8 MHz;55000;3 micrometres;;5 V;PGA68;;01/01/1982;1407
Intel;;80188;;;6 MHz;55000;3 micrometres;;5 V;PGA68;;01/01/1982;1925
Intel;;80286;;;6 MHz;134000;1,5 micrometres;;5 V;PGA68;;01/02/1982;2865
Intel;;80286;;;8 MHz;134000;1,5 micrometres;;5 V;PGA68;;01/02/1982;1864
Intel;;80286;;;12,5 MHz;134000;1,5 micrometres;;5 V;PGA68;;01/02/1982;960
Intel;;80386DX;;;16 MHz;275000;1 micrometres;32 bits;5 V;PGA132;;17/10/1985;3112
Intel;;80386DX;;;20 MHz;275000;1 micrometres;32 bits;5 V;PGA132;;16/02/1987;1731
Intel;;80386DX;;;25 MHz;275000;1 micrometres;32 bits;5 V;PGA132;;04/04/1988;1178
Intel;;80386DX;;;33 MHz;275000;1 micrometres;32 bits;5 V;PGA132;;10/04/1989;3493
Intel;;80386SX;;;16 MHz;275000;1 micrometres;32 bits;5 V;PGA132;;16/06/1988;3403
Intel;;80386SX;;;20 MHz;275000;1 micrometres;32 bits;5 V;PGA132;;25/01/1989;2041
Intel;;80386SX;;;33 MHz;275000;1 micrometres;32 bits;5 V;PGA132;;26/10/1992;2475
Intel;;80376;;;16 MHz;;;32 bits;5 V;PGA88;;16/01/1989;3113
Intel;;80376;;;20 MHz;;;32 bits;5 V;PGA88;;16/01/1989;1554
Intel;;80386SL;;;20 MHz;855000;1 micrometres;32 bits;5 V;PGA132;;15/10/1990;3304
Intel;;80386SL;;;25 MHz;855000;1 micrometres;32 bits;5 V;PGA132;;30/09/1991;2939
Intel;;386 EX;;;;;;;;;;01/08/1994;3151
Intel;;80486DX;;;25 MHz;1,200,000;1 micrometres;32 bits;5 V;PGA168;;10/04/1989;2975
Intel;;80486DX;;;33 MHz;1,200,000;1 micrometres;32 bits;5 V;PGA168;;07/05/1990;3514
Intel;;80486DX;;;50 MHz;1,200,000;0,8 micrometres;32 bits;5 V;PGA168;;24/06/1991;1337
Intel;;80486SX;;;16 MHz;1,200,000;1 micrometres;32 bits;5 V;PGA168;;22/04/1991;3312
Intel;;80486SX;;;20 MHz;1,200,000;1 micrometres;32 bits;5 V;PGA168;;16/09/1991;2808
Intel;;80486SX;;;25 MHz;1,200,000;1 micrometres;32 bits;5 V;PGA168;;16/09/1991;435
Intel;;80486SX;;;33 MHz;1,200,000;1 micrometres;32 bits;5 V;PGA168;;21/09/1992;1509
Intel;;80486DX2;;;50 MHz;1,200,000;0,8 micrometres;32 bits;5 V;PGA168;;03/03/1992;2109
Intel;;80486DX2;;;66 MHz;1,200,000;0,8 micrometres;32 bits;5 V;PGA168;;10/08/1992;2452
Intel;;80486SL;;;20 MHz;1,400,000;0,8 micrometres;32 bits;3,3 V;QFP196;;15/10/1990;543
Intel;;80486SL;;;25 MHz;1,400,000;0,8 micrometres;32 bits;3,3 V;QFP196;;30/09/1991;261
Intel;;80486SL;;;33 MHz;1,400,000;0,8 micrometres;32 bits;3,3 V;QFP196;;30/09/1991;2465
Intel;;80486DX4;;;75 MHz;1,600,000;0,6 micrometres;32 bits;3,3 V;PGA168;;07/03/1994;2008
Intel;;80486DX4;;;100 MHz;1,600,000;0,6 micrometres;32 bits;3,3 V;PGA168;;07/03/1994;323
Intel;;80486DX4;;;120 MHz;1,600,000;0,6 micrometres;32 bits;3,3 V;PGA168;;07/03/1994;921
Intel;Pentium; P5;;;60 MHz;3,100,000;0,8 micrometres;32 bits;5 V;PGA273;1;22/03/1993;1153
Intel;Pentium; P5;;;66 MHz;3,100,000;0,8 micrometres;32 bits;5 V;PGA273;1;22/03/1993;2171
Intel;Pentium;P54C;;;75 MHz;3,200,000;0,6 micrometres;32 bits;3,3 V;SPGA296;1;10/10/1994;496
Intel;Pentium;P54C;;;90 MHz;3,200,000;0,6 micrometres;32 bits;3,3 V;SPGA296;1;07/03/1994;1849
Intel;Pentium;P54C;;;100 MHz;3,200,000;0,6 micrometres;32 bits;3,3 V;SPGA296;1;07/03/1994;877
Intel;Pentium;P54C;;;120 MHz;3,200,000;0,6 micrometres;32 bits;3,3 V;SPGA296;1;27/03/1995;2056
Intel;Pentium;P54C;;;133 MHz;3,300,000;0,35 micrometres;32 bits;3,3 V;SPGA296;1;01/06/1995;1904
Intel;Pentium;P54C;;;150 MHz;3,300,000;0,35 micrometres;32 bits;3,3 V;SPGA296;1;04/01/1996;2536
Intel;Pentium;P54C;;;166 MHz;3,300,000;0,35 micrometres;32 bits;3,3 V;SPGA296;1;04/01/1996;2887
Intel;Pentium;P54C;;;200 MHz;3,300,000;0,35 micrometres;32 bits;3,3 V;SPGA296;1;10/06/1996;2418
Intel;Pentium;MMX;;;120 MHz;4,500,000;0,28 micrometres;32 bits;2,8 V;SPGA296;1;en 1995;3110
Intel;Pentium;MMX;;;133 MHz;4,500,000;0,28 micrometres;32 bits;2,8 V;SPGA296;1;en 1995;1566
Intel;Pentium;MMX;;;150 MHz;4,500,000;0,28 micrometres;32 bits;2,8 V;SPGA296;1;en 1995;200
Intel;Pentium;MMX;;;166 MHz;4,500,000;0,28 micrometres;32 bits;2,8 V;SPGA296;1;en 1997;1565
Intel;Pentium;MMX;;;200 MHz;4,500,000;0,28 micrometres;32 bits;2,8 V;SPGA296;1;en 1997;3022
Intel;Pentium;MMX;;;233 MHz;4,500,000;0,28 micrometres;32 bits;2,8 V;SPGA296;1;en 1997;1610
Intel;Pentium;MMX;;;200 MHz;4,500,000;0,25 micrometres;32 bits;1,8 V;SPGA296;1;en 1997;3355
Intel;Pentium;MMX;;;233 MHz;4,500,000;0,25 micrometres;32 bits;1,8 V;SPGA296;1;en 1997;325
Intel;Pentium;MMX;;;266 MHz;4,500,000;0,25 micrometres;32 bits;1,8 V;SPGA296;1;en 1998;2193
Intel;Pentium;MMX;;;300 MHz;4,500,000;0,25 micrometres;32 bits;1,8 V;SPGA296;1;en 1999;2665
Intel;Pentium Pro;P6;;;150 MHz;5,500,000;0,6 micrometres;32 bits;3,1 V;SPGA387;1;01/11/1995;3295
Intel;Pentium Pro;P6;;;166 MHz;5,500,000;0,35 micrometres;32 bits;3,3 V;SPGA387;1;01/11/1995;2861
Intel;Pentium Pro;P6;;;180 MHz;5,500,000;0,35 micrometres;32 bits;3,3 V;SPGA387;1;01/11/1995;691
Intel;Pentium Pro;P6;;;200 MHz;5,500,000;0,35 micrometres;32 bits;3,3 V;SPGA387;1;01/11/1995;2627
Intel;Pentium Pro;P6;;;200 MHz;5,500,000;0,35 micrometres;32 bits;3,3 V;SPGA387;1;01/11/1995;527
Intel;Pentium Pro;P6;;;200 MHz;5,500,000;0,35 micrometres;32 bits;3,3 V;SPGA387;1;01/01/1997;3178
Intel;Pentium II Celeron;;Klamath;;233 MHz;7,500,000;0,35 micrometres;32 bits;2,8 V;Slot 1;1;01/05/1997;1986
Intel;Pentium II Celeron;;Klamath;;266 MHz;7,500,000;0,35 micrometres;32 bits;2,8 V;Slot 1;1;01/05/1997;921
Intel;Pentium II Celeron;;Klamath;;300 MHz;7,500,000;0,35 micrometres;32 bits;2,8 V;Slot 1;1;01/05/1997;1857
Intel;Pentium II Celeron;;Deschutes;;333 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 1;1;01/02/1998;3174
Intel;Pentium II Celeron;;;;266 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 1;1;15/04/1998;2827
Intel;Pentium II Celeron;;;;300 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 1;1;24/08/1998;2551
Intel;Pentium II Celeron;;;;333 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 1;1;24/08/1998;1067
Intel;Pentium II Celeron;;;;366 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 1;1;04/01/1999;939
Intel;Pentium II Celeron;;;;400 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 1;1;04/01/1999;2750
Intel;Pentium II Celeron;;;;433 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 1;1;22/03/1999;2898
Intel;Pentium II Celeron;;;;466 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 1;1;26/04/1999;3336
Intel;Pentium II Celeron;;;;500 MHz;7,500,000;0,18 micrometres;32 bits;2,0 V;Slot 1;1;02/08/1999;2896
Intel;Pentium II Celeron;;;;533 MHz;7,500,000;0,18 micrometres;32 bits;2,0 V;Slot 1;1;04/01/2000;1682
Intel;Pentium II Xeon;;;;400 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 2;1;29/06/1998;3123
Intel;Pentium II Xeon;;;;400 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 2;1;29/06/1998;3096
Intel;Pentium II Xeon;;;;450 MHz;7,500,000;0,25 micrometres;32 bits;2,0 V;Slot 2;1;06/10/1998;707
Intel;Pentium III;450;Katmai;;450 MHz;9,500,000;0,25 micrometres;32 bits;1,93 V;Slot 1;1;26/02/1999;3060
Intel;Pentium III;500;Katmai;;500 MHz;9,500,000;0,25 micrometres;32 bits;1,93 V;Slot 1;1;26/02/1999;3147
Intel;Pentium III;533B;Katmai;;533 MHz;9,500,000;0,25 micrometres;32 bits;1,93 V;Slot 1;1;27/09/1999;3388
Intel;Pentium III;550;Katmai;;550 MHz;9,500,000;0,25 micrometres;32 bits;1,93 V;Slot 1;1;17/05/1999;2881
Intel;Pentium III;600;Katmai;;600 MHz;9,500,000;0,25 micrometres;32 bits;1,98 V;Slot 1;1;02/08/1999;1816
Intel;Pentium III;600B;Katmai;;600 MHz;9,500,000;0,25 micrometres;32 bits;1,98 V;Slot 1;1;27/09/1999;1811
Intel;Pentium III;500E;Coppermine;;500 MHz;28000000;0,18 micrometres;32 bits;1,6 V;Socket 370;1;25/10/1999;2946
Intel;Pentium III;533EB;Coppermine;;533 MHz;28,000,000;0,18 micrometres;32 bits;1,65 V;Socket 370;1;25/10/1999;3440
Intel;Pentium III;550E;Coppermine;;550 MHz;28,000,000;0,18 micrometres;32 bits;1,6 V;Socket 370;1;25/10/1999;1774
Intel;Pentium III;600E;Coppermine;;600 MHz;28,000,000;0,18 micrometres;32 bits;1,7 V;Socket 370;1;25/10/1999;2339
Intel;Pentium III;600EB;Coppermine;;600 MHz;28,000,000;0,18 micrometres;32 bits;1,65 V;Socket 370;1;25/10/1999;721
Intel;Pentium III;650;Coppermine;;650 MHz;28,000,000;0,18 micrometres;32 bits;1,65 V;Socket 370;1;25/10/1999;3533
